,partidaId,mandanteId,visitanteId,placarMandante,placarVisitante,publico,vencedor,rodada
184,3570272852,3584964355,1110161204,2,0,"22,702",1,19
185,2065319629,360415214,1596141233,2,1,"24,072",1,19
186,1984722442,67067627,3657292249,0,0,"22,691",0,19
187,3718116381,4060423562,1898730127,0,0,"5,803",0,19
188,1416488565,2976050151,2213895614,0,0,"6,310",0,19
189,2399824789,2976050151,2228842524,0,0,"5,977",0,17
190,1854429323,852822218,3598766679,1,0,"1,891",1,20
191,3706945017,871981024,4060423562,0,1,"10,981",-1,20
192,98073818,1596141233,67067627,3,2,"56,052",1,20
193,2857019971,2213895614,2883380601,1,1,"5,323",0,20
194,2123159458,1110161204,1670992046,2,0,"11,031",1,20
195,101045459,3974523768,2976050151,0,0,"12,967",0,20
196,3692107811,3657292249,3584964355,1,0,"6,352",1,20
197,1299606543,546424345,360415214,4,1,"11,964",1,20
198,3645623733,1898730127,2228842524,0,0,"22,018",0,20
199,2678143570,3209350440,871981024,0,1,"42,075",-1,21
200,1959971078,1670992046,852822218,2,0,"7,082",1,21
201,3486154915,3584964355,546424345,0,0,"15,369",0,21
202,4038100005,4060423562,1596141233,1,1,"9,006",0,21
203,590668859,360415214,2213895614,3,0,"21,691",1,21
204,3197486356,67067627,3974523768,2,0,"30,393",1,21
205,3244143462,2976050151,3657292249,2,1,"3,208",1,21
206,3845740919,3598766679,1898730127,0,0,"8,426",0,21
207,509558204,2883380601,3131217581,0,2,"21,261",-1,21
208,2038955544,2228842524,1110161204,2,1,"10,412",1,21
209,3807707363,3131217581,3209350440,0,1,"15,831",-1,20
210,4033470697,2228842524,2213895614,0,1,"23,460",-1,22
211,329398722,3209350440,852822218,0,1,"40,581",-1,22
212,1175756892,360415214,3657292249,1,2,"22,585",-1,22
213,2357103204,2883380601,1596141233,4,2,"33,537",1,22
214,62287592,1670992046,546424345,2,0,"10,199",1,22
215,1364108389,2976050151,1110161204,1,2,"5,779",-1,22
216,3378896633,67067627,1898730127,1,1,"12,055",0,22
217,2183344736,4060423562,3131217581,1,0,"5,955",1,22
218,114820226,3598766679,871981024,0,1,"10,036",-1,22
219,1491723282,3584964355,3974523768,5,0,"17,518",1,22
220,2812710473,1110161204,2883380601,1,1,"25,672",0,23
221,3077149047,2213895614,3584964355,1,0,"Estádio Club de Regatas Vasco da Gama, Rio de Janeiro, RJ",1,23
222,1582583446,1596141233,2976050151,2,2,"42,724",0,23
223,3810350753,546424345,3598766679,1,1,"17,420",0,23
224,21748728,3974523768,4060423562,0,1,"8,608",-1,23
225,518119452,871981024,2228842524,2,2,"12,444",0,23
226,2591282498,1898730127,3209350440,2,0,"12,567",1,23
227,2176868091,3131217581,67067627,1,2,"9,676",-1,23
228,3164355769,3657292249,1670992046,2,0,"6,311",1,23
229,1690348046,852822218,360415214,1,1,"3,818",0,23
230,552681301,3657292249,1898730127,2,0,"5,780",1,24
231,2006642484,2976050151,852822218,1,3,"5,264",-1,24
232,431905529,4060423562,1110161204,1,1,"9,201",0,24
233,1097142419,3584964355,3131217581,0,1,"14,618",-1,24
234,2730023341,546424345,2228842524,3,1,"11,329",1,24
235,2142403775,871981024,1596141233,1,2,"12,805",-1,24
236,1617105333,1670992046,3974523768,2,0,"9,029",1,24
237,926759363,3209350440,2213895614,1,0,"41,235",1,24
238,773692357,67067627,360415214,1,0,"11,754",1,24
239,3452289432,2883380601,3598766679,1,0,"26,440",1,24
240,1863940832,1670992046,4060423562,1,1,"9,584",0,25
241,1822799333,1898730127,546424345,1,0,"4,257",1,25
242,1098096021,1596141233,3209350440,1,1,"61,142",0,25
243,2560516200,2228842524,2883380601,0,1,"13,145",-1,25
244,1684438717,3131217581,2976050151,1,0,"9,980",1,25
245,3394329836,852822218,67067627,1,2,"10,865",-1,25
246,1755832558,3598766679,3657292249,2,3,"8,315",-1,25
247,1135227773,1110161204,871981024,1,3,"10,865",-1,25
248,3949207242,360415214,3584964355,1,0,"12,789",1,25
249,73233195,3974523768,2213895614,1,1,"15,701",0,25
250,3606086301,2213895614,3131217581,1,1,"Estádio Club de Regatas Vasco da Gama, Rio de Janeiro, RJ",0,26
251,725180932,360415214,3598766679,1,1,"20,860",0,26
252,2019121169,2883380601,1898730127,0,1,"37,527",-1,26
253,3706980845,3584964355,2228842524,1,0,"15,727",1,26
254,1803692394,1596141233,3974523768,1,0,"43,071",1,26
255,1544195689,3657292249,871981024,2,3,"14,780",-1,26
256,2301741617,4060423562,852822218,0,2,"7,872",-1,26
257,1268247117,67067627,3209350440,1,1,"15,727",0,26
258,2339228158,546424345,1110161204,0,2,"11,418",-1,26
259,2457255163,2976050151,1670992046,1,0,"11,133",1,26
